,Product_Name,Product_Price,rating,Reviews,Product_URL
21,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",285,4.0 out of 5 stars,"4,656",/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-13
22,Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,805,3.9 out of 5 stars,"3,081",/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-14
23,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),"3,529",4.0 out of 5 stars,"19,777",/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-15
24,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),285,3.8 out of 5 stars,226,/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-16
25,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",679,4.3 out of 5 stars,427,/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-17
26,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",849,4.0 out of 5 stars,"4,656",/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-18
27,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),248,4.3 out of 5 stars,"7,492",/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-19
28,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,599,4.3 out of 5 stars,"6,185",/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-20
29,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,399",4.6 out of 5 stars,63,/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
30,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",679,4.3 out of 5 stars,59,/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
31,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",387,4.1 out of 5 stars,482,https://aax-eu.amazon.in/x/c/RGUE9byZ8q-IDbHfWf-Wr6EAAAGJM-lXowMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBVDsks/https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B68Z3X7D/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0%3Aamzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0B68Z3X7D&pd_rd_r=ed0fcf2b-c5d4-42dd-81b0-e8a50a488e26&pd_rd_w=tq7n7&pd_rd_wg=Std09&pf_rd_p=71f3e964-c052-406d-85d3-3536a795e6d0&pf_rd_r=5JJWRZG4SMGQP8Y8WYHE&qid=1688793077&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55
32,Fur Jaden Navy Casual Backpack with USB Charging Port and 15.6 Inch Laptop Pocket,899,4 Stars & Up,"3,649",/sspa/click?ie=UTF8&spc=MTo2Mjg1NTE0ODY5MDU4MjQ4OjE2ODg3OTMxMDI6c3BfYXRmX25leHQ6MjAwMTg4MjM0NDI1MDE6OjA6Og&url=%2FFur-Jaden-Waterproof-Charging-BM30_Navy%2Fdp%2FB07G4G3NPD%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793102%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
33,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,900",3 Stars & Up,482,/sspa/click?ie=UTF8&spc=MTo2Mjg1NTE0ODY5MDU4MjQ4OjE2ODg3OTMxMDI6c3BfYXRmX25leHQ6MjAwNjM3ODQ0NTgzOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793102%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
34,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)","1,800",2 Stars & Up,"2,216",/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1688793102&sprefix=ba%2Caps%2C283&sr=8-19
35,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping","1,600",1 Star & Up,"2,899",/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1688793102&sprefix=ba%2Caps%2C283&sr=8-20
36,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,169,3.9 out of 5 stars,"7,909",/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1688793102&sprefix=ba%2Caps%2C283&sr=8-21
37,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",399,4.1 out of 5 stars,"8,971",/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1688793102&sprefix=ba%2Caps%2C283&sr=8-22
38,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",162,3.8 out of 5 stars,"3,474",/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1688793102&sprefix=ba%2Caps%2C283&sr=8-23
