,Description,ASIN,Product Description,Manufacturer
41,"   Care Instructions: Wipe with Dry Cloth    Unique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.    Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.    Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.    Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.    Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.    
",ASIN                                                                            :                                                                     B0BR1C59R8," 
 Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.  ","Manufacturer                                                                            :                                                                     Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020"
42,"   Care Instructions: Hand Wash Only    Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo    Dimensions : LxWxH- 31 x 18 x 47 cms    Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)    No. of Compartments : 3 with full padding    NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)    
",ASIN                                                                            :                                                                     B0BWNBQXDZ," 
 Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.  ",Manufacturer                                                                            :                                                                     Amazing Bags
43,"   Care Instructions: Hand Wash Only    100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult    
",ASIN                                                                            :                                                                     B0BXFDK5J2," 
 Opt for this classy yet functional backpack for men, women, boys and Girls from Fur Jaden to stay ahead in the style game. This durable bag is sturdy, durable, and water resistant so that you can go from day to night. In addition, its many compartments keep all your belongings sorted so that you never have to lose track of anything. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a statement of sophistication. This backpack is high on aesthetics as well as on utility and functionality. The backpack sports a front pocket for having essentials at your disposal at all times. It also comes with one side pocket which can be used to store your waterbottle as well as your umbrella so that it is always handy when you need it most.  ",Is Discontinued By Manufacturer                                                                            :                                                                     No
44,"   Care Instructions: Hand Wash Only    100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight    
",ASIN                                                                            :                                                                     B0C3MH4NDY," 
 Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.  ",Manufacturer                                                                            :                                                                     ADISA
45,"   A super-slim backpack for men design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality.This college bag has spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design of this school bag for boys are crafted from polyester, this medium school bag is sturdy enough to withstand regular wear and tear gracefully.    Zipline laptop bag for men features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this school bag for boys can be easily adjusted according to your liking. Spacious backpack is featuring with four pockets and three main compartments all with speciality zippers, this office bag for men offers you enough space to carry your books, files, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.    The lighter your college Bag, the more you’ll enjoy hiking. With this in mind, we've ensured that the Zipline college bag weighs very light, and does not add extra weight to your back.    The Zipline school bag has been provided with a bouncy mesh that prevents sweatiness by allowing air flow. The padded back panel of this school bag and shoulder straps helps make carrying heavier loads easier and more comfortable.    Highly Durable and Water Resistant fabric have been used in this school bag for boys    
",ASIN                                                                            :                                                                     B09VCLZ3K4," 
 F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.  ",Is Discontinued By Manufacturer                                                                            :                                                                     No
46,"   MULTI-FUNCTION COMPARTMENT: HALF MOON laptop bag for men features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The Laptop bag for men / backpack for men has superior quality durable eco-friendly waterproof and anti-scratch polyester and this office bag for men / Laptop backpacks for men features a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN IN LAPTOP BAG FOR MEN: Our backpack for men’s ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the college bags for men comfortable to wear even when loaded with all your gear; Compact: The backpack for men / college bags for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.    SIZE OF LAPTOP BAG FOR MEN:18*13*10 inch(L*W*H), Capacity: The office bag for men has capacity of 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and office bag for women.    OTHER FEATURES OF OFFICE BAG FOR MEN: The office bag for men and office bag for women has laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.    
",ASIN                                                                            :                                                                     B01F7AX9ZA," 
",Manufacturer                                                                            :                                                                     ADISA
47,"   Large multi-compartment backpack with a padded sleeve for laptops, can hold up to 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Lining Description: Polyester; Age Range Description: Adult; Special Features: Lightweight; Closure Type: Zipper    
",ASIN                                                                            :                                                                     B0BX3QFVSM," 
",Manufacturer                                                                            :                                                                     FUR JADEN
48,"   ?LOTS OF STORAGE SPACE&POCKETS- This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments with many hidden pockets can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly.<br>    ?DIMENSION & DURABLE MATERIAL - Size of extra large backpack:18.89 x 12.0 x 2.99 (inches), perfect to throw under your seat on an airplane when you are traveling or on business trip.Separate padded laptop compartment fits most 15.5 inch laptop /Ipad/Computer.The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.<br>    ?MULTIPURPOSE - At checkpoint, unfolds the travel backpack freely 90-180 degrees making you quickly through the airport security and keep items tidy, exclusive designed for airplane travel. The big backpack is perfect for indoor/outdoor activities. Served as a durable laptop backpack, large school backpack for Teen Boys/Girls, large laptop bag or spacious college backpack. Perfect travel gifts for men women who like international travel, camping, hiking and overnight trip.<br>    ?SECURE& SAFE - Durable Metal Zippers,protects wallet and other items inside from thief and offers a private space.So you never have to worry about someone stealing your laptop, ipad, business file, homework and anything value, keep you a nice peace of mind. Durable metal zippers close and open smoothly, ensure a secure and long-lasting usage everyday or weekend.;Age Range Description: Adult; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Classic<br>    ?BREATHABLE & COMFORTABLE - Padded and breathable mesh back panel of this Backpack design help for the air convection, ventilation and heat elimination. Comfortable wide breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with design, can hang sunglasses and other small pendants.Premium bookbags for men also school backpack for teen boys. And it is a Ideal gifts for men women.<br>    
",ASIN                                                                            :                                                                     B078GLXMDY," 
",Is Discontinued By Manufacturer                                                                            :                                                                     No
49,"   Care Instructions: Wipe with Dry Cloth    Care Instructions: Wipe with Dry Cloth    PREMIUM MATERIAL: Made from high quality, Premium quality smooth zippers, pullers, buckles.    Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.    USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    
",ASIN                                                                            :                                                                     B07MXL986B," 
",Manufacturer                                                                            :                                                                     Gear Merchandise PVT LTD
50,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",ASIN                                                                            :                                                                     B084ZHP97M," 
 A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.  ",Manufacturer                                                                            :                                                                     Uber Fashion Merchandise Pvt Ltd
51,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",ASIN                                                                            :                                                                     B09VTCNN75," 
",Is Discontinued By Manufacturer                                                                            :                                                                     No
52,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser    
",ASIN                                                                            :                                                                     B07G4G3NPD," 
",Manufacturer                                                                            :                                                                     ADISA
53,"   Care Instructions: Wipe with Dry Cloth    Unique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.    Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.    Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.    Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.    Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.    
",ASIN                                                                            :                                                                     B07G4D13L7," 
",Is Discontinued By Manufacturer                                                                            :                                                                     No
54,"   This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    
",ASIN                                                                            :                                                                     B097K6KD7W," 
 Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.  ",Manufacturer                                                                            :                                                                     Safari Industries
55,"   Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty    
› See more product details ",ASIN                                                                            :                                                                     B0757MBSS6," 
",Manufacturer                                                                            :                                                                     Safari Industries
56,"   Capacity: 25 liters, Weight: 800 grams, Dimensions: 31 x 18 x 44 cm (L x W x H)    
",ASIN                                                                            :                                                                     B07G3CG9FC," 
 Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  ",Manufacturer                                                                            :                                                                     Acefour Accessories Pvt. Ltd.
57,"   Material: Water Resistant Light-Weight Polyester    Compartments: 2 (padded) + 1 front easy-access pocket    Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)    Dimensions: LxWxH- 31 x 20 x 47 cms    Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo    
",ASIN                                                                            :                                                                     B07J46KLFP," 
 Opt for this classy yet functional backpack for men, women, boys and Girls from Fur Jaden to stay ahead in the style game. This durable bag is sturdy, durable, and water resistant so that you can go from day to night. In addition, its many compartments keep all your belongings sorted so that you never have to lose track of anything. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a statement of sophistication. This backpack is high on aesthetics as well as on utility and functionality. The backpack sports a front pocket for having essentials at your disposal at all times. It also comes with one side pocket which can be used to store your waterbottle as well as your umbrella so that it is always handy when you need it most.  ",Manufacturer                                                                            :                                                                     Half_Moon (AB Amazing Bags)
58,"   KEY FEATURES - Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.    Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide Power Bank with this Bag.    Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.    Durable and Sturdy - Made from durable quality polymer fabric, this Fur Jaden backpack is sturdy and reliable. Flaunt this bag with style and enjoy life with this low maintenance bag which is also washable. This backpack is also suitable for school or college.    Warranty - 1 Year Manufacturer Warranty Against Manufacturing Defects    
",ASIN                                                                            :                                                                     B09B277CR5," 
 Swiss Military Hard Shell Travel BackpackUnique Diamond Cut ABS Hard-shell Design.Accommodates up to 15.6"" Laptop.Kissing Zip Pullers for Locking Mechanism.Separate Compartment for IPad / Notebook.Velcro Flap to Prevent 180° Opening.Elasticated File / Documents Holder.180° Opening for Peking / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.Spacious Garments / Files Pocket for Overnight Travel.Miscellaneous Storage pockets for organizing ease.Premium Padded Back Mesh Panel for Extra Comfort.Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.Measurement:-Dimensions: L33 x W19 x H50(cm) Approx.Capacity: 32 LNet Weight: 1.40 KGMaterial: ABS  ",Manufacturer                                                                            :                                                                     Acefour Accessories Pvt. Ltd.
59,"   Care Instructions: Wipe with Damp Cloth    Care Instructions: Wipe with Damp Cloth    Dimensions: 12 inch x 8 inch x 17.5 inch ; Capacity: 35 Ltrs; Number of Compartments: 3 Compartments; Material: Polyester; Water Resistance Level: Water Resistant    
",ASIN                                                                            :                                                                     B09B2581S9," 
 Meticulously designed to provide a perfect fit. Offers a premium quality material that ensure durability  ",Manufacturer                                                                            :                                                                     Acefour Accessories Pvt. Ltd.
60,"   PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips<br>; Pocket Description: Utility Pocket; Age Range Description: Adult; Style Name: Travel Backpacks; Special Features: Laptop Compartment<br><br>    Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Travel Backpacks<br>    Water Resistance Level: Water Resistant; Compartment Description: Greater Than 17 Inches<br>    
› See more product details ",ASIN                                                                            :                                                                     B0BR1C59R8," 
 Wooum Crossbody Sling Bag - Durable Shoulder Bag with Adjustable Strap One Side Bag for Commuting Travel Outdoor Activities Cycling - Sling Bag Travel Hiking Chest Bag Daypack – Colour Black-Grey – (Pack of 1 Bag) - Unisex Cross Body Backpack for Travel, College, Tuition Brand: Wooum Product Material: Premium Polyester, Lining Fabric, Premium Zippers, Premium PVC Buckle, D-Rings & Grey Mesh Colour: Black-Grey Product Size: (Lx W x H) 7 x 3.5 x 15 inches 18 x 9 x 38 cm. Utility: keep your small items like makeup, tissue, keys, small utensils, daily medicine box, iPad mini, iPhone 7 Plus, power bank, mobile, earphones, pen-drive, flash drive, memory card, external hard disk drive, power cable, adapter, small stationaries, other office utilities, phone, cards, wallet, sport gears, ear-phone case, contact lens case or anything that fits within your palm etc. and perfect for travel, hiking, camping, daily out, school, office, etc. Weight: 280 grams. Perfect Gift: Perfect gift for Friends, Students, Families, Surprising gift, First day school gift, Corporate gift For that person who love to travel or always on the go. Give the gift of convenience, style and practicality. It can be used as waist bag also it can be chest shoulder cross-body bag. Wooum Sling Cross Body Bag is useful for Motorcycle Riding Climbing Camping Running Sport Hiking Hunting Fishing Outdoor sports. Wooum Chest Bag is suitable for men, women, adults & children. VERSATILE POCKETS & COMPARTMENTS: It is a trendy waist pouch with 1 separate zipper pockets of different size for all your needs; the mesh pockets of this side bag can easily hold a small water bottle (300 ml) (6 cm diameter)) or a wallet. Other pockets in this belt bag can conceal your money, mobile, coins, glasses, and other tourist accessories. This stylish bag can used as a waist pack, cross body bag.  ",Manufacturer                                                                            :                                                                     Safari Industries
61,"   ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.<br>    WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.<br>    CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.<br>    Outer Material Type: Nylon    
",ASIN                                                                            :                                                                     B0BLVQ9NTD," 
 Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.  ",Manufacturer                                                                            :                                                                     Lookmuster
62,"   Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult<br>    
",ASIN                                                                            :                                                                     B0BXFDK5J2," 
 Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.  ",Manufacturer                                                                            :                                                                     Gear Merchandise PVT LTD
63,"   LARGE CAPACITY: Fur Jaden Brings to you this fancy and trendy backback which can be used as a school or college or office backpack with a huge compartment which comes with a Laptop Sleeve and can fit all laptops upto 15.6 Inch . Dimension of Backpack: 42 x30 x 15 cm (L x H x D)    Unisex Backpack: This shoulder backpack can be used by both Boys and Girls as its versatile colour stands out beautifully on both and adds a charm to the persona of the person carrying it.    DURABLE & COMFORTABLE: A Solid and Wearable school / college backpack with Exterior made from durable polyester fabric and interior has polyester lining.    The Shoulder straps are padded which helps to avoid shoulder pain and gives you a better feeling when carrying this daypack.    Warranty- 6 Month Manufacturer Warranty Against Manufacturing Defects    
",ASIN                                                                            :                                                                     B0B69M182Q," 
 NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.  ",Manufacturer                                                                            :                                                                     Safari Industries
64,"   Care Instructions: Hand Wash Only    Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)    Concealed quick access Pockets on back panel; Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve    3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric, Embedded Organizer, USB and Headphone cable slot    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot    Special Features: Back Padding; Closure Type: Zipper; Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .    
",ASIN                                                                            :                                                                     B09B2581S9," 
 Give your everyday routine a fresh update with Genie Camellia backpack. With all-over floral print, this backpack will be the style statement as you head off to class and your classmates stare in awe. It is spacious enough to carry all your supplies whilst looking cute.  ",Manufacturer                                                                            :                                                                     Trajectory Marketing LLP
65,"   2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.    One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.    Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.    World’s best Japanese brand YKK zippers and sliders.    Comes with the F Gear promise of quality and durability.    
",ASIN                                                                            :                                                                     B0BS6YGKMC," 
",Manufacturer                                                                            :                                                                     Wesley
66,"   Care Instructions: Wipe with Damp Cloth    Outer Material: Polyester, Color: Black Grey    Water Resistance: Water resistant    Capacity: 21 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable    Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Age Range Description: Adult; Closure Type: Zipper; Pocket Description: Utility Pocket    
",ASIN                                                                            :                                                                     B07G4CYC74," 
",Is Discontinued By Manufacturer                                                                            :                                                                     No
67,"   30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
› See more product details ",ASIN                                                                            :                                                                     B09B277CR5," 
","Manufacturer                                                                            :                                                                     Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020"
68,"   Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo    NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)    Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)    Compartments: 2 with full padding; Front Easy-Access Pocket    Dimensions : L x W x H- 12 x 7 x 18 inches    
",ASIN                                                                            :                                                                     B09RK6NCGC," 
",Is Discontinued By Manufacturer                                                                            :                                                                     No
